{79B19868-18CF-4AFD-9660-83B535502A0C},27500,19/05/1995 00:00,CV5 6LD,T,N,F,201,,BROOMFIELD ROAD,EARLSDON,COVENTRY,COVENTRY,WEST MIDLANDS,A,A
{8A5F7A96-0865-46E3-B3D9-91F47C16313A},157500,17/03/1995 00:00,N19 5EX,S,N,F,104,,LADY MARGARET ROAD,LONDON,LONDON,ISLINGTON,GREATER LONDON,A,A
{60CF8CE4-7269-4F41-9062-91F4932AC4A2},110995,09/11/1995 00:00,SW8 2PH,F,Y,L,10,41,PRIORY GROVE,LONDON,LONDON,LAMBETH,GREATER LONDON,A,A
{C03038E8-1504-4249-BDF9-91F4A24C8E35},34000,18/08/1995 00:00,FY5 4HW,F,N,L,KINGSTON MEWS,FLAT 8,CRABTREE ROAD,THORNTON-CLEVELEYS,THORNTON-CLEVELEYS,WYRE,LANCASHIRE,A,A
{95F22B84-A5E2-456C-9340-8737EB37D141},39500,10/02/1995 00:00,LS28 5PU,S,N,F,26,,HOLLIN PARK ROAD,CALVERLEY,PUDSEY,LEEDS,WEST YORKSHIRE,A,A
{3769C849-73ED-4BE8-A22D-87381AF1C293},48500,01/08/1995 00:00,IP11 7SG,F,N,L,7,,ST JOHNS COURT,FELIXSTOWE,FELIXSTOWE,SUFFOLK COASTAL,SUFFOLK,A,A
{4BEC9D35-FE45-46E7-A792-87381D0D641D},23250,21/07/1995 00:00,CF63 4LB,T,N,F,44,,MERTHYR STREET,BARRY,BARRY,VALE OF GLAMORGAN,SOUTH GLAMORGAN,A,A
{AA71606E-1475-4145-8AC5-873828E32914},66000,24/03/1995 00:00,YO12 4QR,S,N,F,78,,PASTURE LANE,SEAMER,SCARBOROUGH,SCARBOROUGH,NORTH YORKSHIRE,A,A
{03F24297-4981-457A-B128-8E62B91063DC},95000,17/11/1995 00:00,GU32 1LJ,S,Y,F,2,,CROSS ROAD COTTAGES,WEST MEON,PETERSFIELD,WINCHESTER,HAMPSHIRE,A,A
{187BB53D-F6EA-4D06-B773-8E62BDBD727B},112500,24/03/1995 00:00,BS23 4LP,D,N,F,22,,STANHOPE ROAD,WESTON-SUPER-MARE,WESTON-SUPER-MARE,WOODSPRING,AVON,A,A
{9721939A-CD0C-4994-A810-8E62BDFE42A2},36500,30/06/1995 00:00,ST9 0PA,T,N,F,11,,CHATSWORTH DRIVE,WERRINGTON,STOKE-ON-TRENT,STAFFORDSHIRE MOORLANDS,STAFFORDSHIRE,A,A
{93F01E61-FAC3-48D6-8A23-8E62DF6C15A3},57600,24/05/1995 00:00,L31 9PT,S,N,F,10,,THE BOLEYN,LIVERPOOL,LIVERPOOL,SEFTON,MERSEYSIDE,A,A
{0611A7D6-9C8F-40BC-BC7C-83B568B558AC},47995,31/01/1995 00:00,CF62 3HU,T,Y,F,10,,PICTON ROAD,RHOOSE,BARRY,VALE OF GLAMORGAN,SOUTH GLAMORGAN,A,A
{1360C8ED-3236-4F98-8B92-83B5732FC11B},55500,27/10/1995 00:00,TR18 5PZ,S,N,F,20,,NEW ROAD,NEWLYN,PENZANCE,PENWITH,CORNWALL,A,A
{D28EDCFC-0F17-48D9-A03D-91F4CC28FB41},38500,28/07/1995 00:00,CH7 2LY,S,Y,F,THE WILLOWS,,PRINCESS AVENUE,BUCKLEY,BUCKLEY,ALYN AND DEESIDE,CLWYD,A,A
